date,open,high,low,close,volume,amount
2022-01-04,30.98,31.34,30.38,30.5,5475500.0,176275761.0
2022-01-05,30.83,30.95,30.26,30.58,4357300.0,139871312.0
2022-01-06,30.2,30.47,29.73,29.99,5429500.0,171460568.0
2022-01-07,30.01,30.68,29.87,29.99,3707600.0,117410155.0
2022-01-10,29.94,30.6,29.18,30.52,3842700.0,121590264.0
2022-01-11,30.52,30.96,29.7,29.87,3347000.0,106045309.0
2022-01-12,30.04,30.56,29.71,30.52,3020400.0,95919727.0
2022-01-13,30.95,31.46,30.19,30.19,4334000.0,139382422.0
2022-01-14,29.81,30.58,29.68,30.1,2630700.0,83432427.0
2022-01-17,29.85,33.08,29.85,32.31,7893000.0,262315820.0
2022-01-18,32.3,32.68,31.29,31.49,5048400.0,168662480.0
2022-01-19,31.2,31.88,30.59,30.8,3876000.0,126732403.0
2022-01-20,30.8,30.97,30.08,30.25,2995500.0,95489964.0
2022-01-21,30.27,30.62,28.77,29.13,4120100.0,127502838.0
2022-01-24,29.3,30.05,28.84,29.62,2400000.0,74810990.0
2022-01-25,29.83,29.88,28.03,28.07,3052300.0,92524825.0
2022-01-26,28.13,28.86,27.59,27.74,2288600.0,67521398.0
2022-01-27,27.61,27.69,26.36,26.43,3198300.0,90838806.0
2022-01-28,26.78,27.58,26.08,26.86,3145000.0,89259291.0
2022-02-07,27.48,27.61,26.77,27.04,2151300.0,61737233.0
2022-02-08,27.06,27.83,26.66,27.52,3004200.0,86922717.0
2022-02-09,27.48,28.03,27.31,27.89,2637900.0,77409209.0
2022-02-10,28.07,28.28,27.44,27.72,2114700.0,61834203.0
2022-02-11,27.57,27.67,26.46,26.63,2892500.0,82363123.0
2022-02-14,26.72,27.18,26.3,26.39,2683200.0,75524992.0
2022-02-15,26.52,26.88,26.38,26.66,1973900.0,55671911.0
2022-02-16,26.86,27.58,26.73,27.31,2519600.0,72483212.0
2022-02-17,27.39,27.39,26.55,26.7,2469400.0,69867928.0
2022-02-18,27.28,28.63,27.15,28.45,5498800.0,161688783.0
2022-02-21,29.29,30.34,28.99,29.57,8386100.0,260585918.0
2022-02-22,29.18,29.88,28.83,29.44,5603000.0,173688949.0
2022-02-23,29.43,30.11,29.16,29.97,4681300.0,145875352.0
2022-02-24,29.94,30.04,28.53,28.95,5131800.0,157757172.0
2022-02-25,29.18,29.95,29.18,29.39,3504100.0,108890132.0
2022-02-28,29.49,30.48,29.36,30.43,4777000.0,150651227.0
2022-03-01,30.38,31.2,30.03,30.76,4650300.0,150108951.0
2022-03-02,30.63,30.63,29.88,30.06,3064100.0,96908390.0
2022-03-03,30.12,30.18,29.38,29.55,2432800.0,75953089.0
2022-03-04,29.03,29.72,29.0,29.29,2017600.0,62215061.0
2022-03-07,29.26,29.26,28.5,28.64,2110100.0,63823954.0
2022-03-08,28.95,29.13,27.7,28.07,3070000.0,92107695.0
2022-03-09,28.36,28.95,26.59,27.83,3618700.0,106622929.0
2022-03-10,29.48,29.48,27.78,27.91,3359800.0,100768966.0
2022-03-11,27.91,28.35,27.06,28.18,3117500.0,91086088.0
2022-03-14,27.98,28.91,27.49,27.75,3838200.0,114431596.0
2022-03-15,27.42,27.63,25.67,25.67,4220800.0,119069504.0
2022-03-16,25.98,26.48,24.7,26.31,3427400.0,93402111.0
2022-03-17,26.46,27.42,26.44,26.98,3513000.0,100220750.0
2022-03-18,26.8,27.18,26.75,26.88,1824600.0,52024057.0
2022-03-21,26.89,27.76,26.2,26.53,2321100.0,65547480.0
2022-03-22,26.5,26.88,25.76,26.38,2605200.0,72287687.0
2022-03-23,26.61,27.56,25.99,27.29,3694100.0,105143499.0
2022-03-24,27.13,27.13,25.93,26.01,3946600.0,109928744.0
2022-03-25,25.9,26.16,25.34,25.35,2688800.0,73291005.0
2022-03-28,25.2,25.62,24.48,25.44,2358400.0,62903058.0
2022-03-29,25.67,25.79,24.94,25.14,1649800.0,44101437.0
2022-03-30,25.35,25.53,25.19,25.43,1380900.0,37131239.0
2022-03-31,25.58,25.61,25.16,25.29,1434100.0,38471036.0
2022-04-01,25.18,25.68,24.85,25.35,1602700.0,43067081.0
2022-04-06,25.35,25.53,25.02,25.46,1663300.0,44622577.0
2022-04-07,25.32,25.56,24.69,24.69,1867300.0,49685932.0
2022-04-08,25.48,25.51,23.78,23.97,2991200.0,77216910.0
2022-04-11,23.88,23.88,22.68,22.92,2872400.0,71099372.0
2022-04-12,23.04,23.46,22.69,23.4,1823800.0,44940284.0
2022-04-13,23.4,23.48,22.91,23.08,1512300.0,37346435.0
2022-04-14,23.57,23.68,22.97,23.11,1154500.0,28457572.0
2022-04-15,23.12,23.33,22.78,22.95,1135900.0,27902907.0
2022-04-18,22.83,23.47,22.83,23.18,1264900.0,31147559.0
2022-04-19,23.28,24.65,23.08,23.72,3256700.0,82540050.0
2022-04-20,23.51,23.98,22.93,23.04,2545900.0,63168315.0
2022-04-21,22.92,23.39,22.61,22.63,2354000.0,57802467.0
2022-04-22,22.48,22.79,21.4,21.94,2537000.0,59301416.0
2022-04-25,21.98,21.98,20.25,20.25,2320900.0,52488551.0
2022-04-26,20.78,20.78,20.19,20.28,1993100.0,43717858.0
2022-04-27,20.08,20.83,19.36,20.56,2068000.0,44659616.0
2022-04-28,20.54,20.7,19.78,20.36,1514000.0,32905422.0
2022-04-29,20.48,21.28,20.39,21.13,1960900.0,43862816.0
2022-05-05,21.63,23.4,21.63,23.4,2921900.0,71327821.0
2022-05-06,22.8,24.83,22.58,24.08,6877200.0,175951870.0
2022-05-09,24.08,24.73,23.66,24.0,3680100.0,94272639.0
2022-05-10,24.0,24.72,23.53,24.49,3236100.0,83209186.0
