date,open,high,low,close,volume,amount
2016-03-03,0.316,0.636,0.316,0.636,9700.0,
2016-03-04,0.828,0.828,0.828,0.828,3900.0,
2016-03-07,1.038,1.038,1.038,1.038,1800.0,
2016-03-08,1.270,1.270,1.270,1.270,13300.0,
2016-03-09,1.525,1.525,1.525,1.525,25900.0,
2016-03-10,1.806,1.806,1.806,1.806,18100.0,
2016-03-11,2.115,2.115,2.115,2.115,34600.0,
2016-03-14,2.454,2.454,2.454,2.454,67900.0,
2016-03-15,2.828,2.828,2.828,2.828,194000.0,
2016-03-16,3.239,3.239,3.239,3.239,714400.0,
2016-03-17,3.244,3.691,3.064,3.691,13608500.0,
2016-03-18,3.492,3.794,3.450,3.669,10974200.0,
2016-03-21,3.727,3.988,3.630,3.709,7868900.0,
2016-03-22,3.685,4.159,3.666,3.864,8680300.0,
2016-03-23,3.802,3.833,3.638,3.824,6062700.0,
2016-03-24,3.721,3.975,3.647,3.822,6011400.0,
2016-03-25,3.802,4.223,3.742,4.122,7198500.0,
2016-03-28,4.174,4.278,3.776,3.846,6483100.0,
2016-03-29,3.802,3.967,3.573,3.641,5201400.0,
2016-03-30,3.709,3.850,3.617,3.833,4040700.0,
2016-03-31,3.876,4.079,3.839,4.079,4993500.0,
2016-04-01,4.050,4.482,3.992,4.311,6214600.0,
2016-04-05,4.211,4.463,4.106,4.429,4786900.0,
2016-04-06,4.360,4.638,4.288,4.430,4403500.0,
2016-04-07,4.366,4.415,4.125,4.158,3957400.0,
2016-04-08,4.099,4.392,4.052,4.378,3499300.0,
2016-04-11,4.381,4.642,4.298,4.557,4213100.0,
2016-04-12,4.484,4.502,3.988,4.173,4139200.0,
2016-04-13,4.174,4.297,4.164,4.175,2867400.0,
2016-04-14,4.215,4.591,4.213,4.524,5353100.0,
2016-04-15,4.453,4.476,4.259,4.313,4042300.0,
2016-04-18,4.236,4.236,4.040,4.202,2240100.0,
2016-04-19,4.200,4.448,4.200,4.410,3183500.0,
2016-04-20,4.423,4.450,3.864,4.050,4172200.0,
2016-04-21,3.944,4.093,3.808,3.808,2398300.0,
2016-04-22,3.758,3.871,3.698,3.832,2189900.0,
2016-04-25,3.802,3.832,3.596,3.786,1632600.0,
2016-04-26,3.736,3.920,3.736,3.903,2072800.0,
2016-04-27,3.907,3.926,3.740,3.765,1906600.0,
2016-04-28,3.704,3.767,3.585,3.767,1988000.0,
2016-04-29,3.708,3.814,3.680,3.747,1294900.0,
2016-05-03,3.758,3.937,3.681,3.920,1908700.0,
2016-05-04,3.876,3.994,3.864,3.957,2155600.0,
2016-05-05,3.956,4.040,3.864,4.005,1737400.0,
2016-05-06,3.982,4.099,3.754,3.754,3141600.0,
2016-05-09,3.622,3.666,3.526,3.548,1828900.0,
2016-05-10,3.537,3.585,3.465,3.483,1262900.0,
2016-05-11,3.523,3.547,3.299,3.312,1507300.0,
2016-05-12,3.219,3.274,3.089,3.241,1346800.0,
2016-05-13,3.190,3.300,3.164,3.201,1005200.0,
2016-05-16,3.121,3.305,3.121,3.304,1018100.0,
2016-05-17,3.318,3.406,3.256,3.351,1386200.0,
2016-05-18,3.294,3.297,3.015,3.058,1601000.0,
2016-05-19,3.064,3.213,3.062,3.090,1177200.0,
2016-05-20,3.058,3.384,3.017,3.384,2337700.0,
2016-05-23,3.419,3.683,3.382,3.585,2655700.0,
2016-05-24,3.542,3.542,3.399,3.494,1833400.0,
2016-05-25,3.566,3.739,3.523,3.574,2542000.0,
2016-05-26,3.566,4.057,3.418,4.050,3301900.0,
2016-05-27,4.037,4.076,3.874,3.905,2757900.0,
2016-05-30,3.813,4.197,3.809,4.076,3182500.0,
2016-05-31,4.073,4.440,4.011,4.275,3727800.0,
2016-06-01,4.248,4.420,4.205,4.248,3325300.0,
2016-06-02,4.229,4.422,4.189,4.422,3143700.0,
2016-06-03,4.397,4.772,4.365,4.499,4163900.0,
2016-06-06,4.521,4.608,4.236,4.434,2974400.0,
2016-06-07,4.422,4.795,4.396,4.775,3642000.0,
2016-06-08,4.671,4.671,4.379,4.459,3584200.0,
2016-06-13,4.230,4.329,3.885,3.885,3665400.0,
2016-06-14,3.858,4.016,3.858,3.969,2033600.0,
2016-06-15,3.912,4.431,3.875,4.346,3089800.0,
2016-06-16,4.310,4.909,4.298,4.909,4692000.0,
2016-06-17,5.017,5.220,4.811,5.150,5068000.0,
2016-06-20,5.085,5.630,4.918,5.290,4818800.0,
2016-06-21,5.258,5.846,5.197,5.401,5715900.0,
2016-06-22,5.339,5.782,5.240,5.726,4830700.0,
2016-06-23,5.667,5.841,5.425,5.607,3442400.0,
2016-06-24,5.544,6.083,5.103,5.847,4861900.0,
2016-06-27,5.910,6.560,5.910,6.560,2235000.0,
2016-06-28,7.087,7.344,6.840,7.148,6590400.0,
2016-06-29,7.148,7.991,6.997,7.768,5872100.0,
