date,open,high,low,close,volume
2014-01-02,1302.3,1333.1,1299.339999,1333.0,16376142.0
2014-01-03,1332.349999,1355.120001,1331.97,1352.839999,19116662.0
2014-01-06,1350.31,1354.15,1322.720001,1323.330001,17027572.0
2014-01-07,1315.44,1355.4,1312.27,1352.279999,14884362.0
2014-01-08,1363.31,1409.21,1363.31,1405.019999,22492878.0
2014-01-09,1401.800001,1423.84,1379.649999,1380.24,20653469.0
2014-01-10,1373.52,1385.85,1347.609999,1353.3,13861382.0
2014-01-13,1352.01,1374.15,1349.249999,1362.79,12307289.0
2014-01-14,1364.8,1400.920001,1364.8,1400.920001,15252891.0
2014-01-15,1399.67,1417.42,1397.940001,1415.32,16945264.0
2014-01-16,1415.57,1423.12,1392.01,1395.159999,17455991.0
2014-01-17,1395.03,1411.550001,1391.619999,1395.51,15810389.0
2014-01-20,1393.879999,1400.94,1362.449999,1372.74,16202711.0
2014-01-21,1370.69,1407.450001,1370.69,1407.15,17582378.0
2014-01-22,1407.46,1432.0,1407.46,1431.740001,20805985.0
2014-01-23,1433.7,1472.339999,1433.170001,1461.53,22799105.0
2014-01-24,1458.21,1493.64,1455.95,1484.43,22093328.0
2014-01-27,1477.46,1500.46,1465.14,1477.67,20450627.0
2014-01-28,1476.59,1486.420001,1448.470001,1471.34,16541491.0
2014-01-29,1472.54,1497.720001,1469.580001,1496.529999,16506821.0
2014-01-30,1494.119999,1507.87,1486.819999,1495.980001,14843349.0
2014-02-07,1489.050001,1532.82,1483.689999,1532.690001,15892295.0
2014-02-10,1536.989999,1557.030001,1525.94,1553.42,21682497.0
2014-02-11,1550.620001,1559.77,1506.040001,1527.150001,22927987.0
2014-02-12,1527.100001,1540.329999,1513.91,1539.969999,21319228.0
2014-02-13,1537.260001,1539.659999,1484.420001,1485.129999,22065731.0
2014-02-14,1484.559999,1516.43,1475.950001,1515.779999,17613823.0
2014-02-17,1521.17,1559.12,1521.17,1558.619999,21744953.0
2014-02-18,1558.74,1561.77,1539.210001,1545.34,22319417.0
2014-02-19,1544.639999,1551.88,1524.39,1544.400001,20648878.0
2014-02-20,1545.259999,1545.51,1504.17,1515.16,18896407.0
2014-02-21,1512.17,1526.03,1503.81,1519.67,14334863.0
2014-02-24,1517.97,1542.31,1510.460001,1540.029999,16353711.0
2014-02-25,1543.97,1571.399999,1460.41,1472.69,25248335.0
2014-02-26,1452.059999,1468.0,1415.250001,1465.979999,16707338.0
2014-02-27,1467.270001,1496.62,1410.969999,1414.66,17271362.0
2014-02-28,1410.4,1436.88,1392.999999,1434.89,13321363.0
2014-03-03,1433.9,1466.229999,1431.14,1465.14,13234945.0
2014-03-04,1462.26,1475.5,1446.270001,1460.45,13269342.0
2014-03-05,1467.060001,1471.04,1454.940001,1464.58,12673360.0
2014-03-06,1461.110001,1464.41,1426.999999,1462.529999,13201713.0
2014-03-07,1463.930001,1477.96,1453.62,1460.61,13195195.0
2014-03-10,1446.060001,1446.060001,1404.59,1407.069999,13398525.0
2014-03-11,1399.900001,1410.38,1380.97,1395.81,11194251.0
2014-03-12,1390.860001,1418.61,1378.890001,1399.269999,11410842.0
2014-03-13,1401.55,1437.15,1401.429999,1436.859999,9633420.0
2014-03-14,1433.46,1450.380001,1424.01,1434.02,9565163.0
2014-03-17,1436.100001,1477.679999,1435.319999,1477.419999,11510241.0
2014-03-18,1479.379999,1493.39,1478.720001,1485.639999,13605173.0
