date,open,high,low,close,preclose,volume,amount,volume_unit,special_treatment
2020-02-18,355.0,380.0,336.5,340.01,107.41,9677517,3376591821.0,shares,0
2020-02-19,349.0,365.0,324.0,327.7,340.01,6041367,2096323244.0,shares,0
2020-02-20,320.86,333.0,301.2,307.4,327.7,3560936,1116797384.0,shares,0
2020-02-21,328.86,334.99,308.5,321.8,307.4,3841990,1229497714.0,shares,0
2020-02-24,313.0,316.01,296.26,312.4,321.8,2695873,827508866.0,shares,0
2020-02-25,302.51,340.1,301.2,328.0,312.4,3106211,1011461624.0,shares,0
2020-02-26,325.0,329.7,288.0,291.5,328.0,2840182,864865146.0,shares,0
2020-02-27,289.01,294.46,265.0,267.98,291.5,2148825,589842752.0,shares,0
2020-02-28,249.0,268.5,247.01,254.0,267.98,1727647,443505654.0,shares,0
2020-03-02,263.0,266.08,250.23,256.5,254.0,1662818,428709066.0,shares,0
2020-03-03,261.9,272.87,257.02,258.71,256.5,2044597,540123241.0,shares,0
2020-03-04,255.0,256.8,240.85,246.59,258.71,1510133,375386474.0,shares,0
2020-03-05,251.07,268.6,242.02,261.8,246.59,1802058,461572518.0,shares,0
2020-03-06,256.0,258.88,250.01,252.03,261.8,1072697,272422255.0,shares,0
2020-03-09,243.15,249.88,230.0,230.4,252.03,1723071,411341531.0,shares,0
2020-03-10,230.99,244.55,230.0,244.0,230.4,1760547,419657437.0,shares,0
2020-03-11,240.2,241.99,227.15,227.15,244.0,1627966,380451725.0,shares,0
2020-03-12,221.14,226.1,220.11,222.86,227.15,937943,209102480.0,shares,0
2020-03-13,210.9,235.6,205.0,228.47,222.86,2010746,452647038.0,shares,0
2020-03-16,233.0,246.5,228.11,230.0,228.47,1918701,455951511.0,shares,0
2020-03-17,238.0,243.33,221.0,239.39,230.0,1622740,382795911.0,shares,0
2020-03-18,243.8,251.12,236.0,236.5,239.39,1634918,400177661.0,shares,0
2020-03-19,238.0,254.22,235.0,254.2,236.5,1916720,472209725.0,shares,0
2020-03-20,256.0,261.65,245.01,248.2,254.2,1566767,393886814.0,shares,0
2020-03-23,238.87,238.87,212.33,217.0,248.2,1447549,329227596.0,shares,0
2020-03-24,222.3,224.6,206.0,219.5,217.0,1223724,264173014.0,shares,0
2020-03-25,227.58,227.58,219.0,220.4,219.5,972404,216342606.0,shares,0
2020-03-26,217.6,221.3,208.88,209.1,220.4,980266,209779538.0,shares,0
2020-03-27,213.88,215.0,205.0,205.45,209.1,694852,145084461.0,shares,0
2020-03-30,198.0,198.0,190.66,194.47,205.45,919931,178986139.0,shares,0
2020-03-31,198.12,202.99,194.01,194.55,194.47,727356,144445988.0,shares,0
2020-04-01,193.03,201.41,191.05,193.4,194.55,686412,134245128.0,shares,0
2020-04-02,192.01,207.7,192.01,207.5,193.4,1118752,225398972.0,shares,0
2020-04-03,205.57,206.46,200.45,200.8,207.5,728618,147511399.0,shares,0
2020-04-07,206.66,207.48,202.68,203.2,200.8,630698,128888387.0,shares,0
2020-04-08,202.01,206.65,201.01,203.64,203.2,495699,101149817.0,shares,0
2020-04-09,204.96,205.69,197.98,198.07,203.64,651099,130301900.0,shares,0
2020-04-10,198.47,198.88,187.01,188.1,198.07,686192,131330493.0,shares,0
2020-04-13,185.25,191.88,185.25,187.33,188.1,439360,82534738.0,shares,0
2020-04-14,188.38,192.5,188.38,190.62,187.33,380983,72427644.0,shares,0
2020-04-15,191.01,195.6,190.18,191.59,190.62,489854,94233472.0,shares,0
