date,open,high,low,close,preclose,volume,amount,volume_unit,special_treatment
2015-02-17,25.69,30.83,25.69,30.83,21.41,11200,343497.0,shares,0
2015-02-25,33.91,33.91,33.91,33.91,30.83,4300,145813.0,shares,0
2015-02-26,37.3,37.3,37.3,37.3,33.91,2800,104440.0,shares,0
2015-02-27,41.03,41.03,41.03,41.03,37.3,5600,229768.0,shares,0
2015-03-02,45.13,45.13,45.13,45.13,41.03,21500,970295.0,shares,0
2015-03-03,49.64,49.64,49.64,49.64,45.13,173549,8614972.0,shares,0
2015-03-04,54.6,54.6,53.15,54.6,49.64,2628662,143459377.0,shares,0
2015-03-05,58.01,60.06,56.58,60.06,54.6,2247258,132430112.0,shares,0
2015-03-06,66.07,66.07,61.15,62.23,60.06,9185096,590685456.0,shares,0
2015-03-09,56.1,58.56,56.01,56.9,62.23,5544989,316589152.0,shares,0
2015-03-10,55.98,58.85,55.01,57.55,56.9,3738355,213889389.0,shares,0
2015-03-11,56.9,58.37,56.01,56.92,57.55,3283951,187483984.0,shares,0
2015-03-12,57.0,57.79,53.73,53.98,56.92,3325975,183512998.0,shares,0
2015-03-13,54.19,56.48,54.11,56.07,53.98,2120286,117583297.0,shares,0
2015-03-16,57.19,59.6,56.5,58.18,56.07,2820736,164037315.0,shares,0
2015-03-17,58.01,59.47,57.5,58.2,58.18,3192638,186966453.0,shares,0
2015-03-18,57.9,61.2,57.65,60.28,58.2,3133624,188436768.0,shares,0
2015-03-19,60.35,61.74,59.55,61.21,60.28,2427450,147070083.0,shares,0
2015-03-20,60.8,62.5,60.21,61.02,61.21,2389102,146475678.0,shares,0
2015-03-23,61.29,61.69,60.31,61.38,61.02,2236509,136504494.0,shares,0
2015-03-24,61.6,65.94,61.1,64.2,61.38,3377311,214054763.0,shares,0
2015-03-25,64.0,70.62,62.7,70.62,64.2,3358572,223036270.0,shares,0
2015-03-26,70.6,70.6,63.66,65.02,70.62,3603327,240880542.0,shares,0
2015-03-27,64.05,66.0,63.15,65.1,65.02,1455308,94287582.0,shares,0
2015-03-30,64.3,65.3,60.13,61.99,65.1,1961025,123149138.0,shares,0
2015-03-31,61.99,63.28,61.05,62.2,61.99,1125205,70184754.0,shares,0
2015-04-01,62.26,63.49,61.9,63.43,62.2,1232930,77550064.0,shares,0
2015-04-02,63.64,65.85,63.64,65.04,63.43,1607211,104294625.0,shares,0
2015-04-03,64.25,65.48,63.68,65.4,65.04,2296541,148405235.0,shares,0
2015-04-07,65.6,68.72,65.6,68.14,65.4,2163389,145231612.0,shares,0
